iter	Passed	Remaining
0	101	101229
1	207	103397
2	302	100378
3	402	100119
4	505	100664
5	621	103030
6	724	102716
7	831	103123
8	934	102950
9	1052	104198
10	1157	104043
11	1261	103837
12	1362	103479
13	1477	104067
14	1597	104872
15	1695	104249
16	1799	104036
17	1915	104480
18	2019	104278
19	2126	104196
20	2235	104224
21	2339	104020
22	2441	103712
23	2548	103625
24	2655	103578
25	2767	103680
26	2873	103563
27	2983	103565
28	3095	103659
29	3201	103511
30	3313	103584
31	3424	103591
32	3533	103531
33	3635	103295
34	3735	102979
35	3842	102891
36	3949	102785
37	4054	102632
38	4151	102300
39	4255	102136
40	4364	102092
41	4483	102257
42	4687	104324
43	4926	107038
44	5106	108380
45	5235	108577
46	5360	108697
47	5503	109160
48	5636	109392
49	5762	109488
50	5874	109306
51	5982	109057
52	6115	109272
53	6224	109043
54	6343	108997
55	6467	109020
56	6582	108903
57	6684	108573
58	6798	108437
59	6913	108316
60	7037	108327
61	7154	108236
62	7264	108052
63	7367	107747
64	7462	107344
65	7576	107222
66	7682	106981
67	7785	106707
68	7897	106565
69	8014	106484
70	8121	106270
71	8230	106083
72	8347	105999
73	8458	105846
74	8563	105611
75	8668	105387
76	8774	105180
77	8878	104945
78	8987	104772
79	9094	104590
80	9201	104392
81	9303	104148
82	9401	103874
83	9493	103525
84	9591	103245
85	9688	102967
86	9784	102680
87	9894	102546
88	9959	101945
89	10059	101712
90	10155	101440
91	10257	101236
92	10361	101048
93	10456	100785
94	10558	100579
95	10661	100395
96	10769	100256
97	10875	100102
98	10977	99903
99	11077	99697
100	11173	99456
101	11244	98994
102	11342	98778
103	11446	98613
104	11545	98410
105	11646	98228
106	11751	98075
107	11855	97915
108	11955	97731
109	12057	97556
110	12157	97369
111	12258	97188
112	12364	97054
113	12467	96895
114	12570	96738
115	12679	96625
116	12778	96439
117	12883	96300
118	12985	96139
119	13093	96019
120	13195	95860
121	13295	95684
122	13393	95493
123	13492	95315
124	13586	95104
125	13694	94989
126	13806	94907
127	13919	94825
128	14028	94718
129	14129	94562
130	14237	94442
131	14348	94354
132	14455	94234
133	14576	94201
134	14689	94120
135	14790	93964
136	14886	93776
137	14990	93635
138	15091	93481
139	15198	93360
140	15304	93235
141	15413	93135
